ID,Objekt,Etage,Verortung,Parkplatz,Parkplatz,Position,Farbe,Symbole,Typografie,Inhalt,Elektrisch,Beschädigt,Foto,Notizen
130,Bewegungsmelder,5,Auf,,,wall,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/a400c6e6c4-1707500021/2024-02-09-18.33.25.png,""
131,Bewegungsmelder,5,Vor,,,ceiling,grey,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/101eecd6f2-1707499568/2024-02-09-18.25.56.png,""
132,Bewegungsmelder,5,Gegenüber von,,,ceiling,white,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/7dacf9bf96-1707499418/2024-02-09-18.23.19.png,""
133,Bewegungsmelder,5,Gegenüber von,,,ceiling,black,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/7dacf9bf96-1707499418/2024-02-09-18.23.19.png,""
134,Bewegungsmelder,5,Vor,,,ceiling,grey,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/5/cb0ebb2383-1707499286/2024-02-09-18.21.06.png,""
135,Bewegungsmelder,5,Gegenüber von,,,wall,grey,false,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/5/2a6cc4cecd-1707499195/2024-02-09-18.19.43.png,""
136,Bewegungsmelder,5,Vor,,,ceiling,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/b5ccc9c726-1706895430/img_1179.jpeg,""
137,Feuerlöscher,5,Gegenüber von,,,wall,red,true,true,"TOTAL FEURLÖSCHER",false,false,,""
138,Feuerlöscher,5,Gegenüber von,,,column,red,true,true,"TOTAL FEURLÖSCHER",false,false,http://parkhaus.digitalisat.com/media/pages/objects/5/698240ff1f-1706624288/img_1153-3.jpg,""
139,Leuchtkasten,5,Gegenüber von,,,wall,white,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/5/850fe249e9-1707499222/2024-02-09-18.20.12.png,""
140,Mülleimer,5,Gegenüber von,,,floor,grey,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/5/227e66b2b6-1706624402/img_1155-3.jpg,""
141,Mülleimer,5,Gegenüber von,,,column,orange,true,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/5/d45d308381-1706624158/img_1150-3.jpg,""
142,Reinigungsgerät,5,Auf,,,floor,blue,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/5/e68b9fa558-1706624363/img_1154-3.jpg,""
143,Steckdose,5,Auf,,,wall,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/5/1b28c444d4-1707499777/2024-02-09-18.29.25.png,""
